OBS_ID START.[UT] END.[UT] MIDTIME EXP_TIME.[s] FILTER HELIO.[AU] HELIOV.[km/s] RANGE.[AU] PHASE[deg] MODCOR gOH[ph/s/molec] PHASECOR[0deg] Z[molec/cm2/s]
00030396001 2006-05-01T01:12:55 2006-05-01T01:13:15 2453856.5507523157 20.457372 B -12.015758 0.12564892 -11.505690 51.440511 0 2.0674042e-06 0.33868545 6.3381775e+21
00030396001 2006-05-01T01:15:16 2006-05-01T01:16:01 2453856.5525289355 45.169853 UVM2 -12.015391 0.12563807 -10.320797 51.442098 0 2.0675302e-06 0.33868482 6.3379868e+21
00030396001 2006-05-01T01:12:29 2006-05-01T01:12:50 2453856.5504571763 20.457372 U -12.015819 0.12565072 -11.702529 51.440248 0 2.0673832e-06 0.33868555 6.3382092e+21
00030396001 2006-05-01T01:14:50 2006-05-01T01:15:11 2453856.5520891207 20.446527 V -12.015482 0.12564075 -10.614126 51.441705 0 2.0674990e-06 0.33868498 6.3380340e+21
00030396001 2006-05-01T01:11:44 2006-05-01T01:12:25 2453856.5500520840 41.110185 UVW1 -12.015902 0.12565320 -11.972700 51.439886 0 2.0673545e-06 0.33868570 6.3382527e+21
00030396001 2006-05-01T01:13:22 2006-05-01T01:14:47 2453856.5514409728 84.778333 UVW2 -12.015616 0.12564471 -11.046399 51.441126 0 2.0674530e-06 0.33868521 6.3381036e+21
00030396002 2006-05-01T01:16:22 2006-05-01T01:26:00 2453856.5563773154 407.25887 UGRISM -12.014596 0.12561649 -7.9196740 51.445571 0 2.0678033e-06 0.33868346 6.3375738e+21
00030400001 2006-05-01T12:12:01 2006-05-01T12:12:23 2453857.0084722228 21.423748 B -11.920517 0.12259325 -17.488050 52.328031 0 2.1005026e-06 0.33840544 6.2886840e+21
00030400001 2006-05-01T12:14:27 2006-05-01T12:15:01 2453857.0102314819 33.553733 UVM2 -11.920148 0.12257620 -16.682964 52.330944 0 2.1006322e-06 0.33840467 6.2884923e+21
00030400001 2006-05-01T12:11:34 2006-05-01T12:11:55 2453857.0081539359 21.434652 U -11.920584 0.12259633 -17.633707 52.327504 0 2.1004791e-06 0.33840559 6.2887187e+21
00030400001 2006-05-01T12:14:00 2006-05-01T12:14:22 2453857.0098495372 21.434633 V -11.920228 0.12257990 -16.857752 52.330312 0 2.1006041e-06 0.33840484 6.2885339e+21
00030400001 2006-05-01T12:10:46 2006-05-01T12:11:30 2453857.0077314819 43.075571 UVW1 -11.920672 0.12260043 -17.827034 52.326804 0 2.1004480e-06 0.33840577 6.2887647e+21
00030400001 2006-05-01T12:12:29 2006-05-01T12:13:57 2453857.0091782412 87.777893 UVW2 -11.920369 0.12258640 -17.164956 52.329200 0 2.1005546e-06 0.33840513 6.2886071e+21
00030400002 2006-05-01T12:15:22 2006-05-01T12:21:20 2453857.0127430558 253.16356 VGRISM -11.919621 0.12255185 -15.533597 52.335104 0 2.1008173e-06 0.33840356 6.2882186e+21
00030407001 2006-05-02T01:25:03 2006-05-02T01:25:37 2453857.5592592601 33.248660 B -11.804012 0.11895102 -8.5993040 53.427480 0 2.1420886e-06 0.33834515 6.2281405e+21
00030407001 2006-05-02T01:28:42 2006-05-02T01:30:01 2453857.5620543985 79.305573 UVM2 -11.803416 0.11893706 -6.8608628 53.430256 0 2.1423048e-06 0.33834570 6.2278305e+21
