original_swift_name,obsid,conventional_names
CometC/2014E2(Jacques),33289001,C/2014E2
CometC/2014E2(Jacques),33289002,C/2014E2
CometC/2022E3(ZTF),5000267001,C/2022E3
CometC/2022E3(ZTF),5000267002,C/2022E3
CometC/2022E3(ZTF),5000267003,C/2022E3
C/2017K2,5000026001,C/2017K2
Comet81P/Wild-2,31693001,81P
Comet81P/Wild-2,31693002,81P
C/2019Y4ATLAS,13326003,C/2019Y4
C/2015V2(Johnson),10278001,C/2015V2
C/2015V2(Johnson),10278002,C/2015V2
C/2015V2(Johnson),10278003,C/2015V2
C/2015V2(Johnson),10278004,C/2015V2
C/2015V2(Johnson),10278005,C/2015V2
C/2013X1Panstarrs,34209001,C/2013X1
C/2017K2,5000011002,C/2017K2
C/2015V2Johnson,94178002,C/2015V2
C/2013X1Panstarrs,34243001,C/2013X1
C/2013X1Panstarrs,34243002,C/2013X1
C/2013X1Panstarrs,34243003,C/2013X1
C/2013X1Panstarrs,34243004,C/2013X1
C/2013X1Panstarrs,34243005,C/2013X1
C/2013A1SidingSpring,33784001,C/2013A1
C/2013A1SidingSpring,33784002,C/2013A1
Comet73P/3-C,30396001,73P
Comet73P/3-C,30396002,73P
CometC/2022E3(ZTF),5000263001,C/2022E3
CometC/2022E3(ZTF),5000263002,C/2022E3
CometC/2022E3(ZTF),5000263003,C/2022E3
Comet81P/Wild-2,31696001,81P
CometC/2022E3(ZTF),5000331001,C/2022E3
CometC/2022E3(ZTF),5000331002,C/2022E3
CometC/2022E3(ZTF),5000331003,C/2022E3
CometC/2022E3(ZTF),5000331004,C/2022E3
CometC/2022E3(ZTF),5000331005,C/2022E3
CometC/2022E3(ZTF),5000331006,C/2022E3
C/2019Q4Borisov,13243001,C/2019Q4
Comet73P/3-C,30661001,73P
C/2019Y4ATLAS,13425001,C/2019Y4
C/2009P1Garradd,91253001,C/2009P1
C/2009P1Garradd,91253002,C/2009P1
Comet141P/Macholz2,14131002,141P
C/2019Q4Borisov,12145001,C/2019Q4
CometC/2012K1(PANSTARRS),92030001,C/2012K1
Comet141P/Macholz2,14123002,141P
C/2017K2,96003001,C/2017K2
Comet73P/3-C,30631001,73P
Comet46P/Wirtanen,94422001,46P
CometC/2022E3(ZTF),5000310001,C/2022E3
CometC/2022E3(ZTF),5000310002,C/2022E3
CometC/2022E3(ZTF),5000310003,C/2022E3
CometC/2022E3(ZTF),5000310004,C/2022E3
CometC/2022E3(ZTF),5000310005,C/2022E3
CometC/2022E3(ZTF),5000310006,C/2022E3
Comet41P,10088001,41P
Comet41P,10088002,41P
Comet41P,10088003,41P
Comet41P,10088004,41P
Comet41P,10088005,41P
Comet8P/Tuttle,31071001,8P
Comet8P/Tuttle,31071002,8P
C/2017K2,5000205002,C/2017K2
CometC/2022E3(ZTF),5000302001,C/2022E3
CometC/2022E3(ZTF),5000302002,C/2022E3
CometC/2022E3(ZTF),5000302003,C/2022E3
Comet41P,10086001,41P
Comet41P,10086002,41P
Comet41P,10086003,41P
Comet41P,10086004,41P
Comet41P,10086005,41P
Comet8P/Tuttle,31093001,8P
Comet141P/Macholz2,14187001,141P
C/2019Q4Borisov,12124001,C/2019Q4
C/2019Y4ATLAS,13344001,C/2019Y4
CometC/2009P1(Garradd),91230001,C/2009P1
CometC/2009P1(Garradd),91230002,C/2009P1
C/2019Q4Borisov,12975001,C/2019Q4
C/2017K2,5000032003,C/2017K2
CometVL62,10205001,C/2015VL62
CometVL62,10205002,C/2015VL62
CometVL62,10205003,C/2015VL62
