Name of observation                                                                  Observation ID
-------------------                                                                  --------------
CometC/2014E2(Jacques)                                                               00033289001
CometC/2014E2(Jacques)                                                               00033289002
CometC/2022E3(ZTF)                                                                   05000267001
CometC/2022E3(ZTF)                                                                   05000267002
CometC/2022E3(ZTF)                                                                   05000267003
C/2017K2                                                                             05000026001
Comet81P/Wild-2                                                                      00031693001
Comet81P/Wild-2                                                                      00031693002
C/2019Y4ATLAS                                                                        00013326003
C/2015V2(Johnson)                                                                    00010278001
C/2015V2(Johnson)                                                                    00010278002
C/2015V2(Johnson)                                                                    00010278003
C/2015V2(Johnson)                                                                    00010278004
C/2015V2(Johnson)                                                                    00010278005
C/2013X1Panstarrs                                                                    00034209001
C/2017K2                                                                             05000011002
C/2015V2Johnson                                                                      00094178002
C/2013X1Panstarrs                                                                    00034243001
C/2013X1Panstarrs                                                                    00034243002
C/2013X1Panstarrs                                                                    00034243003
C/2013X1Panstarrs                                                                    00034243004
C/2013X1Panstarrs                                                                    00034243005
C/2013A1SidingSpring                                                                 00033784001
C/2013A1SidingSpring                                                                 00033784002
Comet73P/3-C                                                                         00030396001
Comet73P/3-C                                                                         00030396002
CometC/2022E3(ZTF)                                                                   05000263001
CometC/2022E3(ZTF)                                                                   05000263002
CometC/2022E3(ZTF)                                                                   05000263003
Comet81P/Wild-2                                                                      00031696001
CometC/2022E3(ZTF)                                                                   05000331001
CometC/2022E3(ZTF)                                                                   05000331002
CometC/2022E3(ZTF)                                                                   05000331003
CometC/2022E3(ZTF)                                                                   05000331004
CometC/2022E3(ZTF)                                                                   05000331005
CometC/2022E3(ZTF)                                                                   05000331006
C/2019Q4Borisov                                                                      00013243001
Comet73P/3-C                                                                         00030661001
C/2019Y4ATLAS                                                                        00013425001
C/2009P1Garradd                                                                      00091253001
C/2009P1Garradd                                                                      00091253002
Comet141P/Macholz2                                                                   00014131002
C/2019Q4Borisov                                                                      00012145001
CometC/2012K1(PANSTARRS)                                                             00092030001
Comet141P/Macholz2                                                                   00014123002
C/2017K2                                                                             00096003001
Comet73P/3-C                                                                         00030631001
Comet46P/Wirtanen                                                                    00094422001
CometC/2022E3(ZTF)                                                                   05000310001
CometC/2022E3(ZTF)                                                                   05000310002
CometC/2022E3(ZTF)                                                                   05000310003
CometC/2022E3(ZTF)                                                                   05000310004
CometC/2022E3(ZTF)                                                                   05000310005
CometC/2022E3(ZTF)                                                                   05000310006
Comet41P                                                                             00010088001
Comet41P                                                                             00010088002
Comet41P                                                                             00010088003
Comet41P                                                                             00010088004
Comet41P                                                                             00010088005
Comet8P/Tuttle                                                                       00031071001
Comet8P/Tuttle                                                                       00031071002
C/2017K2                                                                             05000205002
CometC/2022E3(ZTF)                                                                   05000302001
CometC/2022E3(ZTF)                                                                   05000302002
CometC/2022E3(ZTF)                                                                   05000302003
Comet41P                                                                             00010086001
Comet41P                                                                             00010086002
Comet41P                                                                             00010086003
Comet41P                                                                             00010086004
Comet41P                                                                             00010086005
Comet8P/Tuttle                                                                       00031093001
Comet141P/Macholz2                                                                   00014187001
C/2019Q4Borisov                                                                      00012124001
C/2019Y4ATLAS                                                                        00013344001
CometC/2009P1(Garradd)                                                               00091230001
CometC/2009P1(Garradd)                                                               00091230002
C/2019Q4Borisov                                                                      00012975001
C/2017K2                                                                             05000032003
CometVL62                                                                            00010205001
CometVL62                                                                            00010205002
CometVL62                                                                            00010205003
COMET46P/WIRTANEN                                                                    00094431001
COMET46P/WIRTANEN                                                                    00094431002
COMET46P/WIRTANEN                                                                    00094435001
COMET46P/WIRTANEN                                                                    00094435002
Comet103P/Hartley2                                                                   00031818001
Comet103P/Hartley2                                                                   00031818002
Comet41P                                                                             00093560001
Comet41P                                                                             00093560002
C/2013X1Panstarrs                                                                    00034244001
C/2013X1Panstarrs                                                                    00034244002
Comet88P/Howell                                                                      00013769001
Comet88P/Howell                                                                      00013769002
Comet141P/Macholz2                                                                   00014181003
C/2016R2                                                                             00010579001
