q_h2o_per_s,helio_r_au,t_permanent_flow_s,num_oh,q_oh_per_s,water_rate_over_hydroxyl_rate
1e+27,1.0,754770.9747637921,1.1808660038283071e+32,1.5645355257571514e+26,6.391673333950366
1.7782794100389227e+27,1.0,754770.9747637921,2.0998767698539103e+32,2.7821376815809233e+26,6.391773569697788
3.1622776601683794e+27,1.0,754770.9747637921,3.734059864862056e+32,4.9472753851334065e+26,6.3919580253628965
5.623413251903491e+27,1.0,754770.9747637921,6.640446617019822e+32,8.797962347582284e+26,6.391722344036659
1e+28,1.0,754770.9747637921,1.1808313824602019e+33,1.5644896557260255e+27,6.391860734521345
1.7782794100389227e+28,1.0,754770.9747637921,2.0998301664880923e+33,2.7820759365385516e+27,6.391915427914061
3.1622776601683795e+28,1.0,754770.9747637921,3.7340666900983283e+33,4.9472844279245313e+27,6.391946341955132
5.62341325190349e+28,1.0,754770.9747637921,6.639727143084864e+33,8.79700911281437e+27,6.3924149444292535
1e+29,1.0,754770.9747637921,1.1805262998273017e+34,1.5640854501549308e+28,6.393512578874414
1.778279410038923e+29,1.0,754770.9747637921,2.0981664878691475e+34,2.7798717200615394e+28,6.3969837068580855
3.1622776601683795e+29,1.0,754770.9747637921,3.725087235510881e+34,4.935387501720848e+28,6.407354354781202
5.623413251903491e+29,1.0,754770.9747637921,6.592621854205768e+34,8.73459906996152e+28,6.438089724395633
1e+30,1.0,754770.9747637921,1.1566279311524113e+35,1.5324223768864211e+29,6.525616012158489
1e+27,2.0,3019083.8990551685,4.7161073722375495e+32,1.5620988120646363e+26,6.401643687816992
1.7782794100389227e+27,2.0,3019083.8990551685,8.386521214670107e+32,2.777836421602823e+26,6.401670725495234
3.1622776601683794e+27,2.0,3019083.8990551685,1.4913186580540584e+33,4.939639665266577e+26,6.4018387462635316
5.623413251903491e+27,2.0,3019083.8990551685,2.6520332213547587e+33,8.784231608087209e+26,6.401713323139489
1e+28,2.0,3019083.8990551685,4.715974582179381e+33,1.5620548285045206e+27,6.401823942104385
1.7782794100389227e+28,2.0,3019083.8990551685,8.386369527644678e+33,2.777786178870093e+27,6.401786514620305
3.1622776601683795e+28,2.0,3019083.8990551685,1.4913216194953848e+34,4.9396494743392144e+27,6.401826033600092
5.62341325190349e+28,2.0,3019083.8990551685,2.651966206068785e+34,8.784009635832663e+27,6.40187509467643
1e+29,2.0,3019083.8990551685,4.715739380626859e+34,1.5619769235636892e+28,6.40214323857279
1.778279410038923e+29,2.0,3019083.8990551685,8.384946799587798e+34,2.7773149339148518e+28,6.40287274706831
3.1622776601683795e+29,2.0,3019083.8990551685,1.4905356020506754e+35,4.9370459778118225e+28,6.405201965670069
5.623413251903491e+29,2.0,3019083.8990551685,2.6476893178926355e+35,8.769843457219715e+28,6.412216226361548
1e+30,2.0,3019083.8990551685,4.69305715296994e+35,1.5544639731405433e+29,6.433085727806619
1e+27,3.0,6792938.772874129,1.0597338186465661e+33,1.560052068890041e+26,6.410042459105154
1.7782794100389227e+27,3.0,6792938.772874129,1.884523152456273e+33,2.7742383899905537e+26,6.409973333419908
3.1622776601683794e+27,3.0,6792938.772874129,3.35123081388562e+33,4.933403532603454e+26,6.409931073486671
5.623413251903491e+27,3.0,6792938.772874129,5.959289819070168e+33,8.772771282536912e+26,6.410076212858146
1e+28,3.0,6792938.772874129,1.0597492284895674e+34,1.5600747539804217e+27,6.409949250499502
1.7782794100389227e+28,3.0,6792938.772874129,1.884516603508838e+34,2.7742287491743267e+27,6.4099956089352
3.1622776601683795e+28,3.0,6792938.772874129,3.351188095527875e+34,4.933340646186877e+27,6.410012782337656
5.62341325190349e+28,3.0,6792938.772874129,5.959341642628553e+34,8.77284757287327e+27,6.410020469626966
1e+29,3.0,6792938.772874129,1.0597135867307853e+35,1.5600222851448058e+28,6.410164838813037
1.778279410038923e+29,3.0,6792938.772874129,1.8843811397175502e+35,2.7740293306372e+28,6.410456408658263
3.1622776601683795e+29,3.0,6792938.772874129,3.3504856584544075e+35,4.932306576696552e+28,6.411356656354354
5.623413251903491e+29,3.0,6792938.772874129,5.955477337958206e+35,8.76715886464322e+28,6.414179711721622
1e+30,3.0,6792938.772874129,1.0576538126111497e+36,1.5569900568434694e+29,6.422648594348308
