r_kms,column_density_per_cm2
1.0,6033189012324.946
6562.16707774375,6033189012324.946
13123.3341554875,5065758131002.512
19684.50123323125,4584373358416.44
26245.668310975,4265599998781.1978
32806.83538871875,4027837316811.0234
39368.0024664625,3838540111891.5737
45929.16954420625,3681444779161.357
52490.33662195,3547263190522.7603
59051.503699693756,3430258989241.427
65612.6707774375,3326594042118.4175
72173.83785518125,3233525586996.6333
78735.004932925,3149185968631.549
85296.17201066876,3072037696464.022
91857.3390884125,3001029391092.9946
98418.50616615625,2935237022555.2476
104979.6732439,2873966816307.747
111540.84032164376,2816678224222.4644
118102.00739938751,2762857313625.403
124663.17447713125,2712134407510.218
131224.341554875,2664201008039.927
137785.50863261876,2618753037907.7715
144346.6757103625,2575542242130.114
150907.84278810627,2534388735101.072
157469.00986585,2495114454590.4224
164030.17694359375,2457546013058.381
170591.3440213375,2421537730496.9155
177152.51109908125,2386985053588.1143
183713.678176825,2353785955111.753
190274.84525456876,2321838351257.234
196836.0123323125,2291044843655.415
203397.17941005627,2261324936314.0747
209958.3464878,2232619359659.69
216519.51356554375,2204869545327.1187
223080.68064328752,2178016403658.8042
229641.84772103126,2152001989480.3481
236203.01479877502,2126771841283.513
242764.18187651876,2102281610558.7346
249325.3489542625,2078497606796.3809
255886.51603200627,2055386179358.3782
262447.68310975,2032913243794.989
269008.8501874937,2011044901979.9768
275570.0172652375,1989748197340.3157
282131.18434298126,1968992174673.4602
288692.351420725,1948750903218.9026
295253.51849846874,1929004789480.2512
301814.68557621253,1909734559370.3306
308375.8526539562,1890920617306.498
314937.0197317,1872543277232.2754
321498.18680944375,1854583025761.5117
328059.3538871875,1837020836108.149
334620.52096493123,1819838579647.8882
341181.688042675,1803019810367.7861
347742.8551204187,1786551834178.5732
354304.0221981625,1770423676650.0405
360865.18927590625,1754624159983.4077
367426.35635365,1739141961389.1335
373987.5234313937,1723965705847.197
380548.6905091375,1709084069172.897
387109.85758688126,1694485895817.5444
393671.024664625,1680160339482.4448
400232.19174236874,1666097047049.1345
406793.35882011254,1652286470746.87
413354.5258978562,1638720867712.4558
419915.6929756,1625393883018.1118
426476.86005334376,1612299112378.3438
433038.0271310875,1599430058302.775
439599.19420883124,1586780165275.8677
446160.36128657503,1574342857603.856
452721.5283643187,1562111580804.761
459282.6954420625,1550079847746.0984
465843.86251980625,1538241291416.409
472405.02959755005,1526589727993.23
478966.19667529373,1515119239196.1165
485527.3637530375,1503824300809.5503
492088.53083078127,1492700184103.5518
498649.697908525,1481743144828.774
505210.86498626875,1470949510104.9734
511772.03206401254,1460315553448.3848
518333.1991417562,1449837508330.6926
524894.3662195,1439511582457.9133
531455.5332972438,1429333972965.5532
538016.7003749874,1419300882773.6365
