r_kms,column_density_per_cm2
3000.000000000001,1364471044879.6875
3147.425053100758,1357096042967.5574
3302.094821628761,1349730874857.4634
3464.365323102879,1342362771328.8474
3634.610070342492,1334996766620.366
3813.220931216087,1327630859153.9253
4000.6090306392284,1320265527848.709
4197.205696898347,1312900486859.3003
4403.463454478349,1305535703658.223
4619.857065679586,1298171082767.4634
4846.8846234214825,1290806586124.7864
5085.068697748534,1283442169086.049
5334.9575386773795,1276110134917.533
5597.126338153978,1268738130554.662
5872.178554025297,1261367488993.8848
6160.747299073399,1253998080544.849
6463.496798308797,1246629773888.9426
6781.123917877878,1239256113127.9578
7114.359769103197,1231891775649.653
7463.971391349157,1224529824055.6567
7830.763517586549,1217164360680.238
8215.580426719753,1209799256405.2175
8619.307886940653,1202434434483.5586
9042.875194581966,1195069875981.6426
9487.25731316355,1187705405115.0454
9953.477117554756,1180341058830.4136
10442.607748418981,1173013023668.7434
10955.775082359307,1165640492698.2952
11494.16032345156,1158269360075.6562
12059.002722129355,1150899586718.0005
12651.60242768005,1143519959789.4297
13273.32348091682,1136155791461.4844
13925.596953916047,1128791646292.8374
14609.924244046286,1121427515900.0955
15327.880529871803,1114063398185.93
16081.118396884603,1106700071258.7874
16871.371641411322,1099335398170.6255
17700.45926145051,1091971002550.0288
18570.289643626213,1084606777669.2257
19482.864955895555,1077242715839.7865
20440.285756121437,1069878762283.6409
21444.755827118384,1062546388093.3489
22498.587249300235,1055175065550.7568
23604.20572260693,1047805157002.2671
24764.156149959046,1040423674112.2906
25981.108495093427,1033060028038.7511
27257.863928261926,1025696438809.0704
28597.361273940995,1018332915885.7223
30002.68377539169,1010969472978.6259
31477.06619164247,993112845381.1556
33023.9022432287,996243217095.7609
34646.75242382943,988879544608.2837
36349.35219578004,981516217529.7415
38135.62058832694,974153087281.4113
40009.669218415,966790181701.1923
41975.81175477118,959462783461.3219
44038.57384706935,952092076907.8035
46202.70354303118,944722896496.2616
48473.18221744105,937340261245.718
50855.23603823067,929978207249.1609
53354.34799602656,922616328966.6027
55976.27052484993,915254660927.8928
58727.038743019366,907893211287.6309
61612.98434473252,900531985870.335
64640.75017430527,893170994762.5753
67817.3055166117,885810423507.0518
71149.96213892393,878449693045.6089
74646.391121073,871089395707.459
78314.64051267435,863729571821.8622
82163.1538580569,856370178380.5765
86200.78963153994,849041891291.9081
90436.84162779206,841675996154.9883
94881.06035420604,834311925329.1841
99543.67547453102,826937130251.6016
104435.41935542299,819580085287.7297
109567.55177011399,812223595950.0197
114951.88581605697,804867704573.9487
120600.81510621174,797512461330.3339
126527.34229655433,790157909099.6493
132745.10901547616,782804075674.319
139268.4272639669,775451015817.8456
146112.31235884997,768098515761.5951
153292.51749490923,760747094594.2161
160825.5700054538,753396733177.4744
168728.8094047916,746081863415.452
177020.42730016788,738725697518.7881
185719.50926504986,731372065253.8025
194846.07877013198,724006542404.6669
204421.14327318477,716662121863.222
214466.74257384028,709319100679.902
225005.9995446052,701977586633.4347
236063.1733548883,694637672059.7156
247663.71531054747,687299441706.1842
259834.3274374768,679962986373.0237
272603.02394409996,672628445740.2526
285999.19570422854,665295975106.6938
300053.6779087172,657965219821.1481
314798.8210416405,650637097669.033
330268.56534434686,643311454272.5597
346498.5189388125,636018252136.9797
363526.03979010845,628690710706.444
381390.3216966299,621350715475.1118
400132.4845060434,614036357457.8058
419795.6687645904,606725197605.3165
440425.1350176195,599417436265.7751
462068.3679899111,592113266134.0005
484775.1858856086,584812895977.6802
508597.8550593136,577516537925.5209
533591.2103223281,570224406437.4865
559812.7811609502,562936732404.0154
587322.9241573287,555653793492.76
616184.9619177238,548375379758.54553
646465.3288279265,541102635332.2753
678233.7239713421,533868908969.68994
711563.2715617417,526599755369.8595
746530.689259921,519318975422.0258
783216.4647617472,512070256195.01984
821705.041064043,504828341074.866
862085.0108347182,497593579252.36005
904449.3203346097,490366358971.51733
948895.4833603675,483147075040.7883
995525.8057008575,475936124091.5935
1044447.6206237273,468733912285.9484
1095773.535934198,461540919445.7063
1149621.6931746989,454357667237.5105
1206116.0395620477,447184544427.6914
1265386.613288084,440022160780.1406
1327569.8428404115,432870562326.2965
1392808.861032315,425760094537.87396
1461253.8344646126,418604407945.71954
1533062.3091778164,411490549812.0243
1608399.5732902521,404390386106.9043
1687439.0374567688,397304552268.573
1770362.6340238797,390233773211.7334
1857361.235800068,383178783715.53784
1948635.0954051053,376140359911.55743
2044394.3062098036,369119308784.5607
2144859.2859270917,362116478022.44006
2250261.283967576,355132744548.413
2360842.9137273985,348169035183.70654
2476858.711033667,341226309658.57306
2598575.7200327367,334305568603.06195
2726274.1078701136,327407451112.3681
2860247.80957677,320558405325.54224
3000805.2046461627,313685662779.49304
3148269.8268594914,306863837230.6518
3302981.1089929147,300069675355.50085
3465295.164120926,293304462846.7544
3635585.6053143665,286569542690.0138
3814244.4056196385,279866308760.13995
4001682.8002988687,273196193777.20743
4198332.233407684,266560665993.87708
4404645.350889266,259961306388.54535
4621097.042470882,253399784675.29196
4848185.534760889,246877670360.2648
5086433.538062348,240396784297.3575
5336389.4495431185,233958879375.8363
5598628.615531522,227592500781.63547
5873754.655843572,221219229296.2179
6162400.853189732,214921734306.37454
6465231.610859613,208675051852.47507
6782943.982039502,202481249813.9921
7116269.274283378,196342513560.56555
7465974.732830214,190261061558.21384
7832865.306642316,184239179112.5566
8217785.501229922,178279207576.7626
8621621.322526405,172383561685.52695
9045302.316289056,166554699310.52203
9489803.707719494,160795100681.1643
9956148.646228261,155107347255.42627
10445410.560511338,149494013735.61053
10958715.629358865,143957741745.77103
11497245.373883592,138522955116.6261
12062239.377135998,133127065944.10695
12654998.137365434,127837863631.2431
13276886.061495792,122636758937.41466
13929334.605705306,117526229135.38748
14613845.570340075,112509002016.53072
15331994.556744622,107587792888.75815
16085434.593967484,102765279546.67534
16875899.94368895,98044080873.62137
17705210.092129346,93426810535.70328
18575273.93812675,88916054253.26604
19488094.18702323,84514186801.63129
20445771.960474625,80223643411.55266
21450511.63279427,76046655898.866
22504625.90496197,71985376471.91756
23610541.127979193,68057627589.7853
24770802.8878225,64217797638.87811
