r_kms,column_density_per_cm2
1900.0,6704964915155.045
2829.9029902990296,6704964915155.045
3759.8059805980597,6546351296680.237
4689.70897089709,6337478508758.093
5619.611961196119,6096645820726.987
6549.514951495149,5837634717410.592
7479.41794179418,5571683366175.9375
8409.32093209321,5308330308321.149
9339.223922392239,5055796189238.97
10269.126912691268,4821135622700.288
11199.029902990298,4610253629145.2295
12128.932893289328,4427823482024.843
13058.83588358836,4277087267806.996
13988.738873887389,4159148280849.9673
14918.641864186418,4072080625458.966
15848.544854485448,4012837581893.4873
16778.447844784478,3977845974827.5146
17708.350835083507,3963137672036.2744
18638.253825382537,3964473095145.57
19568.156815681567,3977460035360.5063
20498.059805980596,3997670800188.907
21427.96279627963,4020761347858.477
22357.865786578655,4042598285636.8096
23287.76877687769,4059404897443.401
24217.67176717672,4067948751210.874
25147.574757475744,4065822042637.5386
26077.477747774778,4052257964377.3584
27007.380738073807,4028712119025.465
27937.283728372837,3996990791721.804
28867.186718671866,3958903552379.917
29797.089708970896,3916240325329.7114
30726.992699269926,3870747459261.7593
31656.895689568955,3824101918141.511
32586.79867986799,3777882181833.5635
33516.701670167015,3733533568010.8794
34446.604660466044,3692324226658.7983
35376.507650765074,3655285096857.213
36306.41064106411,3623113097129.05
37236.31363136313,3595841142195.6934
38166.21662166216,3572832794855.504
39096.11961196119,3553399749312.2354
40026.02260226022,3536864868846.6396
40955.92559255926,3522568276319.8857
41885.82858285829,3509874043424.3403
42815.73157315731,3498177779084.7
43745.63456345634,3486915550768.2725
44675.53755375538,3475574776935.5615
45605.44054405441,3463708122564.243
46535.34353435344,3450952678975.6025
47465.246524652466,3437064906530.338
48395.14951495149,3422039361028.0996
49325.052505250525,3406044881758.684
50254.955495549555,3389255578634.179
51184.858485848585,3371842392368.666
52114.761476147614,3353972181106.6206
53044.664466446644,3335806728460.16
53974.56745674567,3317501644398.275
54904.4704470447,3299205121002.538
55834.37343734373,3281056492186.33
56764.27642764276,3263184527090.0386
57694.17941794179,3245705350439.595
58624.08240824083,3228719787409.2324
59553.98539853985,3212309601869.7554
60483.88838883888,3196530290780.761
61413.79137913791,3181386805670.469
62343.69436943694,3166848573837.4404
63273.59735973598,3152883319929.2466
64203.500350035,3139458520845.044
65133.40334033403,3126541486682.8555
66063.30633063306,3114099442484.148
66993.20932093209,3102099611169.9297
67923.11231123112,3090509298140.389
68853.01530153015,3079295978107.918
69782.91829182919,3068427384855.4893
70712.82128212822,3057871604763.9224
71642.72427242725,3047597175138.5938
72572.62726272627,3037573188596.336
73502.5302530253,3027769405055.719
74432.43324332433,3018156373221.325
75362.33623362335,3008705563883.73
76292.23922392238,2999389517906.266
77222.14221422141,2990182012513.39
78152.04520452044,2981058250625.8496
79081.94819481949,2971995080021.941
80011.85118511852,2962971253466.1387
80941.75417541755,2953967751569.4062
81871.65716571658,2944968217840.087
82801.5601560156,2935959631238.2783
83731.46314631462,2926933897912.0674
84661.36613661365,2917891719999.567
85591.26912691268,2908837245688.608
86521.17211721171,2899774600542.659
87451.07510751075,2890707863749.5723
88380.97809780978,2881641063674.0244
89310.88108810881,2872578173250.748
90240.78407840784,2863523105189.76
91170.68706870687,2854479706959.845
92100.5900590059,2845451755510.6914
93030.49304930493,2836442951687.203
93960.39603960395,2827456914281.6
94890.29902990298,2818497173659.58
95820.202020202,2809567164886.0205
96750.10501050105,2800670220263.1064
97680.00800080008,2791809561179.0493
98609.91099109911,2782988289148.261
99539.81398139814,2774209375903.211
100469.71697169717,2765475652372.8647
101399.6199619962,2756789796349.988
102329.52295229523,2748154318604.4033
103259.42594259426,2739571547130.2407
104189.32893289329,2731043609098.1895
105119.2319231923,2722572409867.0063
106049.13491349135,2714159607980.781
106979.03790379038,2705806584201.912
107908.9408940894,2697514400798.1772
108838.84388438844,2689283743422.8135
109768.74687468747,2681114828885.6533
110698.6498649865,2673007189437.098
111628.55285528552,2664959099366.022
112558.45584558455,2656968337413.7563
113488.35883588358,2649032752198.0293
114418.26182618263,2641150274563.9204
115348.16481648166,2633318925974.349
116278.06780678067,2625536827629.004
117207.9707970797,2617802210419.1465
118137.87378737873,2610113425842.0005
119067.77677767776,2602468958018.6323
119997.67976797679,2594867436985.6055
120927.58275827582,2587307653467.5366
121857.48574857485,2579788575393.1045
122787.38873887388,2572309366506.6
123717.29172917292,2564869407580.361
124647.19471947195,2557468321006.891
125577.09770977098,2550106000050.346
126507.00070007,2542782644968.563
127436.90369036903,2535498809962.3354
128366.80668066806,2528255468206.826
129296.70967096709,2521054108835.4385
130226.61266126612,2513896901907.8867
131156.51565156516,2506787292716.3345
132086.41864186418,2499730140019.516
133016.32163216322,2492730316599.3403
133946.22462246224,2485792523214.3394
134876.12761276125,2478921277714.4
135806.0306030603,2472120903324.982
136735.9335933593,2465395515996.028
137665.83658365838,2458749010694.881
138595.7395739574,2452185046501.933
139525.64256425644,2445707030339.193
140455.54555455546,2439318099120.433
141385.4485448545,2433021100047.8193
142315.35153515352,2426818568677.9976
143245.25452545253,2420712704212.521
144175.15751575158,2414705341184.622
145105.0605060506,2408797916232.0054
146034.96349634964,2402991427816.979
146964.86648664865,2397286385326.3887
147894.7694769477,2391682741498.441
148824.6724672467,2386179797549.529
149754.57545754575,2380776058579.7007
150684.47844784477,2375468903493.5903
151614.3814381438,2370253678603.0557
152544.28442844283,2365124866532.3506
153474.18741874184,2360076999691.249
154404.0904090409,2355104673350.0693
155333.99339933993,2350202550214.1226
156263.89638963898,2345365365181.2207
157193.799379938,2340587930301.47
158123.70237023704,2335865139960.4805
159053.60536053605,2331191976309.2075
159983.5083508351,2326563514965.9683
160913.4113411341,2321974931018.7734
161843.31433143315,2317421505359.055
162773.21732173217,2312898631381.298
163703.1203120312,2308401822087.046
164633.02330233023,2303926717636.6597
165562.92629262924,2299469093398.2363
166492.8292829283,2295024868551.0977
167422.7322732273,2290590115311.9243
168352.63526352635,2286161068866.7695
169282.53825382536,2281734138114.038
170212.4412441244,2277305917356.148
171142.34423442342,2272873199127.1113
172072.24722472247,2268432988419.619
173002.15021502148,2263982518693.9243
173932.05320532055,2259519270236.7046
174861.95619561957,2255040991729.991
175791.85918591858,2250545726349.9966
176721.76217621763,2246031844442.4355
177651.66516651664,2241498085994.1484
178581.5681568157,2236943618226.3735
179511.4711471147,2232368119217.0063
180441.37413741375,2227771934750.081
181371.27712771276,2223156645172.19
182301.1801180118,2218524747906.777
183231.08310831082,2213878759284.644
184160.98609860986,2209221167947.176
185090.88908890888,2204554433407.276
186020.7920792079,2199880984557.5815
186950.69506950694,2195203218121.3477
187880.59805980595,2190523497041.0132
188810.501050105,2185844148798.976
189740.404040404,2181167463664.6306
190670.30703070306,2176495692861.1018
191600.2100210021,2171831046644.4126
192530.11301130115,2167175692286.988
193460.01600160016,2162531751956.3164
194389.9189918992,2157901300478.2598
195319.82198219822,2153286362972.7112
196249.72497249726,2148688912346.8716
197179.62796279628,2144110866628.1157
198109.5309530953,2139554086113.6858
199039.43394339434,2135020370307.788
199969.33693369335,2130511454606.9458
200899.2399239924,2126029006680.386
201829.1429142914,2121574622471.612
202759.04590459046,2117149821716.9717
203688.94889488947,2112756042832.454
204618.85188518852,2108394636954.0977
205548.75487548753,2104066860820.1177
206478.65786578658,2099773868037.411
207408.5608560856,2095516698047.8289
208338.4638463846,2091296261691.0996
209268.36683668368,2087113321112.0093
210198.2698269827,2082968456496.2817
211128.17281728174,2078861948840.6165
212058.07580758075,2074793738387.3762
212987.9787978798,2070763710623.357
213917.8817881788,2066771736088.5066
214847.78477847786,2062817669880.3381
215777.68776877687,2058901351125.516
216707.59075907592,2055022602416.0742
217637.49374937493,2051181229207.525
