r_kms,column_density_per_cm2
1.0,210986683181455.0
188.21362744142752,210986683181455.0
375.42725488285504,177333074100234.3
562.6408823242825,160518816912365.7
749.8545097657101,149380072850023.78
937.0681372071376,141071141036674.94
1124.281764648565,134446030150851.16
1311.4953920899927,128948229807947.66
1498.7090195314202,124253279878580.72
1685.9226469728476,120159296703667.44
1873.1362744142752,116525704937603.0
2060.3499018557027,113271956544848.52
2247.56352929713,110318065547290.69
2434.777156738558,107613852332618.92
2621.9907841799854,105127995230506.06
2809.204411621413,102827278859143.97
2996.4180390628403,100681043425090.69
3183.631666504268,98671406005999.61
3370.845293945695,96786030084099.25
3558.058921387123,95011604012422.64
3745.2725488285505,93334642900111.31
3932.486176269978,91742721037961.66
4119.699803711405,90227652522619.44
4306.913431152832,88784536236836.25
4494.12705859426,87408190038393.33
4681.340686035688,86093161861127.92
4868.554313477116,84833930455993.69
5055.767940918544,83625150092014.42
5242.981568359971,82462016436701.88
5430.195195801398,81341309082810.6
5617.408823242826,80261066679545.19
5804.622450684254,79219243509716.6
5991.836078125681,78213678583300.53
6179.0497055671085,77242137959455.84
6366.263333008536,76302360709658.45
6553.476960449964,75392111587355.45
6740.69058789139,74509245546727.9
6927.904215332818,73651796126566.7
7115.117842774246,72818196681864.9
7302.331470215674,72007554287864.52
7489.545097657101,71219075782670.73
7676.758725098529,70451921880820.42
7863.972352539956,69705216459360.516
8051.185979981384,68978056090303.05
8238.39960742281,68269520037813.734
8425.613234864239,67578681022948.484
8612.826862305665,66904617181638.66
8800.040489747094,66246425829048.71
8987.25411718852,65603239996556.75
9174.46774462995,64974249772735.555
9361.681372071376,64358736248019.32
9548.894999512804,63756183233511.3
9736.108626954232,63166266490575.66
9923.322254395658,62588661002508.25
10110.535881837088,62023027160058.94
10297.749509278514,61469012870738.016
10484.963136719942,60926255696298.195
10672.17676416137,60394385041367.53
10859.390391602796,59873024422288.9
11046.604019044224,59361793853270.15
11233.817646485651,58860312397548.91
11421.03127392708,58368200945317.39
11608.244901368507,57885085299443.18
11795.458528809935,57410599679609.11
11982.672156251361,56944390812726.54
12169.88578369279,56486122926685.57
12357.099411134217,56035484447710.266
12544.313038575643,55592199221129.98
12731.526666017073,55156064560354.48
12918.740293458499,54726948216396.4
13105.953920899929,54304718777082.28
13293.167548341355,53889240062998.36
13480.38117578278,53480371605635.99
13667.59480322421,53077969127793.12
13854.808430665636,52681885028601.414
14042.022058107066,52291968875970.17
14229.235685548492,51908067909763.5
14416.449312989918,51530027559677.27
14603.662940431348,51157691982581.52
14790.876567872774,50790904625074.12
14978.090195314202,50429508818195.06
15165.30382275563,50073348412739.125
15352.517450197058,49722268465494.79
15539.731077638486,49376115989273.79
15726.944705079912,49034740783390.17
15914.15833252134,48697996367891.36
16101.371959962768,48365741058613.98
16288.585587404195,48037839252543.65
16475.79921484562,47714163074850.54
16663.01284228705,47394594754407.18
16850.226469728477,47079031037731.5
17037.440097169907,46767397942423.734
17224.65372461133,46459642324146.47
17411.86735205276,46155710412510.9
17599.08097949419,45855546939702.695
17786.29460693562,45559095248827.6
17973.50823437704,45266297402413.52
18160.72186181847,44977094291334.086
18347.9354892599,44691425744450.06
18535.149116701323,44409230639304.125
18722.362744142752,44130447014248.49
18909.576371584182,43855012182439.04
19096.78999902561,43582862848190.55
19284.003626467034,43313935226260.91
19471.217253908464,43048165164715.85
19658.43088134989,42785488272124.23
19845.644508791316,42525840049947.92
20032.858136232746,42269156031123.68
20220.071763674176,42015371925992.32
20407.285391115598,41764423776919.07
20594.499018557028,41516248123184.91
20781.712645998457,41270782178037.38
20968.926273439884,41027964020229.38
21156.13990088131,40787732803060.94
21343.35352832274,40550028985120.3
21530.567155764165,40314794589108.18
21717.78078320559,40081973499401.0
21904.99441064702,39851511817604.38
22092.208038088447,39623358312917.65
22279.421665529877,39397465040575.51
22466.635292971303,39173788287639.93
22653.848920412733,38952290804643.6
22841.06254785416,38732946949202.555
23028.276175295585,38515735021870.305
23215.489802737015,38300632856632.7
23402.70343017844,38087617828335.99
23589.91705761987,37876666877145.195
23777.130685061296,37667756533007.86
23964.344312502722,37460862940153.73
24151.557939944152,37255961881663.69
24338.77156738558,37053028804144.71
24525.985194827004,36852038842550.19
24713.198822268434,36652966845189.49
24900.412449709864,36455787398974.65
25087.626077151286,36260474854957.01
25274.839704592716,36067003354212.17
25462.053332034146,35875346854137.93
25649.26695947557,35685479155236.375
25836.480586916998,35497373928459.78
26023.694214358427,35311004743208.016
26210.907841799857,35126345096075.133
26398.12146924128,34943368440453.883
26585.33509668271,34762048217118.85
26772.54872412414,34582357885922.926
26959.76235156556,34404270958757.21
27146.97597900699,34227761033942.875
27334.18960644842,34052801832243.906
27521.403233889847,33879367234715.56
27708.616861331273,33707431322634.445
27895.830488772703,33536968419797.53
28083.044116214132,33367953137533.965
28270.257743655555,33200360422856.258
28457.471371096985,33034165610303.125
