Radial grid size: 150	Angular grid size: 80	Radial substeps: 80

Q: 1.00000e28 mol/s	Parent dissociative lifetime: 1.33000e6 s	Parent total lifetime: 1.33000e6 s	Parent outflow velocity: 5.00000e2 m/s
Parent cross sectional area: 3.00000e-20 m^2	Fragment total lifetime: 2.60000e6 s	Fragment velocity: 8.00000e2 m/s
Parent destruction level: 99.0%	Fragment destruction level: 95.0%

Collision sphere radius: 1.50000e2 km
Coma radius: 7.06906e6 km
Max grid extent: 2.16772e7 km

r (meters)											volume density (1/m^3)
1.0000000000000000000000000e3,	2.6853903553969184570312500e12
1.1200435721479254880250664e3,	2.3975757363054707031250000e12
1.2544976035098852662486024e3,	2.1406083948152006835937500e12
1.4050919770862253699306166e3,	1.9111821940168269042968750e12
1.5737642372120471918606199e3,	1.7063453407913618164062500e12
1.7626845179656365871778689e3,	1.5234624080961938476562500e12
1.9742834640720759580290178e3,	1.3601804276110893554687500e12
2.2112835035318685186211951e3,	1.2143986164927045898437500e12
2.4767338743276168315787800e3,	1.0842413487426298828125000e12
2.7740498558616750415239949e3,	9.6803402343911425781250000e11
3.1070567098757487656257581e3,	8.6428151935357250976562500e11
3.4800388961954145088384394e3,	7.7164895874940612792968750e11
3.8977951965084362200286705e3,	6.8894453287053405761718750e11
4.3657004553983388177584857e3,	6.1510416815269177246093750e11
4.8897747329921803611796349e3,	5.4917783587326873779296875e11
5.4767607589392309819231741e3,	4.9031732909990136718750000e11
6.1342106842418806991190650e3,	4.3776534967627844238281250e11
6.8705832470862533227773383e3,	3.9084576483852038574218750e11
7.6953526028061805845936760e3,	3.4895490810394946289062500e11
8.6191302181848714099032804e3,	3.1155381250964709472656250e11
9.6538013983839118736796081e3,	2.7816127627380261230468750e11
1.0812678203052557364571840e4,	2.4834767166277355957031250e11
1.2110670719032998022157699e4,	2.2172941740886892700195312e11
1.3564478893253006390295923e4,	1.9796404356108227539062500e11
1.5192807393924236748716794e4,	1.7674578527324066162109375e11
1.7016606264446352724917233e4,	1.5780164883933123779296875e11
1.9059340466265261056832969e4,	1.4088789936169345092773438e11
2.1347291778619251999771222e4,	1.2578692486247679138183594e11
2.3909896939408750768052414e4,	1.1230443649208917236328125e11
2.6780126377704131300561130e4,	1.0026696881256748962402344e11
2.9994908410656622436363250e4,	8.9519647994563491821289062e10
3.3595604362521698931232095e4,	7.9924199213612091064453125e10
3.7628540718667238252237439e4,	7.1357167608878417968750000e10
