r_kms,column_density_per_cm2
1.0,1222320428616.32
15407.92645939847,1222320428616.32
30814.85291879694,1062337468678.4956
46221.7793781954,982654534340.6278
61628.70583759388,929818276545.6569
77035.63229699235,890366752951.2832
92442.5587563908,858911751155.7983
107849.48521578929,832773964227.1664
123256.41167518776,810418777824.6548
138663.33813458623,790897690088.0544
154070.2645939847,773572610665.7091
169477.19105338317,758005166002.6823
184884.1175127816,743864325408.2927
200291.0439721801,730923098535.3999
215697.97043157858,718980637922.0549
231104.89689097702,707900281946.1373
246511.82335037552,697565582371.8787
261918.749809774,687889025466.7936
277325.67626917246,678789812849.9734
292732.6027285709,670200453864.0242
308139.5291879694,662070442870.0615
323546.45564736787,654363176656.6903
338953.38210676634,647029599697.818
354360.3085661648,639986142830.5626
369767.2350255632,633069664333.2275
385174.16148496175,626215201068.7625
400581.0879443602,619616991970.3363
415988.0144037586,613415781189.4677
431394.94086315716,607537554705.126
446801.8673225556,601889123155.0344
462208.79378195404,596445954525.5549
477615.72024135257,591204475273.1481
493022.64670075104,586150881328.567
508429.57316014945,581264927462.1986
523836.499619548,576531294229.872
539243.4260789464,571944675483.6152
554650.3525383449,567501101628.5454
570057.2789977434,563193400817.8611
585464.2054571419,559010552002.9639
600871.1319165403,554942032246.8092
616278.0583759388,550979711905.7925
631684.9848353373,547118565810.32855
647091.9112947357,543354112286.74976
662498.8377541342,539682320138.42053
677905.7642135327,536100092574.03375
693312.6906729311,532604390615.15234
708719.6171323296,529191912385.19214
724126.5435917281,525858938342.25055
739533.4700511264,522601458202.82574
754940.396510525,519415527949.6104
770347.3229699235,516297365978.48083
785754.2494293218,513243505170.68695
801161.1758887204,510250768573.7138
816568.1023481189,507316256834.45325
831975.0288075173,504437516660.4907
847381.9552669158,501613102098.7273
862788.8817263143,498842201025.7775
878195.8081857127,496123876523.36755
893602.7346451113,493457017103.61035
909009.6611045097,490840250833.7285
924416.5875639081,488271859388.5025
939823.5140233067,485750050606.3726
955230.4404827051,483273028248.7395
970637.3669421035,480839003027.96124
986044.2934015021,478446200197.7971
1001451.2198609005,476092874484.76245
1016858.1463202989,473777345501.34845
1032265.0727796975,471498025254.98895
1047671.999239096,469253456330.5155
1063078.9256984943,467042415795.267
1078485.852157893,464864051465.7901
1093892.7786172912,462717583854.7743
1109299.7050766898,460602224775.95013
1124706.6315360882,458517181933.3073
1140113.5579954868,456461664638.47363
1155520.4844548854,454434895225.5128
1170927.4109142837,452436112576.59845
1186334.337373682,450464562413.838
1201741.2638330807,448519501487.845
1217148.190292479,446600204494.3842
1232555.1167518776,444705974342.0655
1247962.0432112762,442836171626.90015
1263368.9696706745,440990229440.6994
1278775.896130073,439167590716.5774
1294182.8225894715,437367701400.355
1309589.7490488698,435590013944.26874
1324996.6755082684,433833991874.2043
1340403.601967667,432099117415.67725
1355810.5284270654,430384913350.8234
1371217.4548864637,428690930614.93726
1386624.3813458623,427016722526.7156
1402031.3078052606,425361845927.8119
1417438.2342646592,423725863749.86255
1432845.1607240578,422108348357.16144
1448252.0871834562,420508886706.9502
1463659.0136428545,418927096011.85297
1479065.9401022529,417362624137.9831
1494472.8665616515,415815122043.4993
1509879.79302105,414284242443.7583
1525286.7194804484,412769641366.22784
1540693.645939847,411270980043.1552
1556100.5723992453,409787927453.6069
1571507.4988586437,408320164608.1338
1586914.4253180423,406867397479.0749
1602321.3517774409,405429350034.8536
1617728.2782368392,404005747420.1648
1633135.2046962378,402596316129.38806
1648542.1311556362,401200785050.2155
1663949.0576150345,399818886708.6233
1679355.984074433,398450358876.16614
1694762.9105338317,397094946911.1851
1710169.83699323,395752409842.9999
1725576.7634526286,394422527326.2977
1740983.689912027,393105083259.1041
1756390.6163714253,391799862105.1685
1771797.542830824,390506649534.4054
1787204.4692902225,389225233150.9029
1802611.3957496209,387955403361.51794
1818018.3222090194,386696954490.1194
1833425.2486684178,385449686367.284
1848832.1751278162,384213407894.1884
1864239.1015872147,382987943990.55676
1879646.0280466133,381773124729.6096
1895052.9545060117,380568780482.52
1910459.8809654103,379374742325.13446
1925866.8074248086,378190842498.5821
1941273.733884207,377016914939.0327
1956680.6603436056,375852795918.7726
1972087.5868030041,374698324879.29663
1987494.5132624025,373553345633.05334
2002901.439721801,372417709247.7079
2018308.3661811997,371291278881.68884
2033715.2926405978,370173920994.73004
2049122.2190999964,369065502242.8633
2064529.145559395,367965889752.43744
2079936.0720187933,366874951422.00085
2095342.998478192,365792556262.8818
2110749.9249375905,364718574798.714
2126156.8513969886,363652879560.27625
2141563.777856387,362595345743.83026
2156970.704315786,361545852198.77136
2172377.6307751844,360504284395.77826
2187784.5572345825,359470536177.1584
2203191.483693981,358444502586.6175
2218598.4101533797,357426078829.78345
2234005.3366127783,356415160459.0228
2249412.2630721764,355411643575.02075
2264819.189531575,354415425051.60095
2280226.1159909735,353426402794.5781
2295633.0424503717,352444476053.0907
2311039.9689097707,351469545815.79596
2326446.895369169,350501515354.7222
2341853.8218285674,349540291164.02734
2357260.748287966,348585786012.29944
2372667.674747364,347637917195.82434
2388074.6012067627,346696602230.8605
2403481.5276661613,345761758774.6518
2418888.45412556,344833304750.4278
2434295.380584958,343911158483.02185
2449702.3070443566,342995238848.8711
2465109.233503755,342085465446.42236
2480516.1599631533,341181758796.8135
2495923.0864225524,340284040591.30194
2511330.0128819505,339392234014.29565
2526736.939341349,338506264206.6785
2542143.8658007476,337626059348.1297
2557550.792260146,336751552867.235
2572957.7187195444,335882679898.73944
2588364.645178943,335019375619.51715
2603771.5716383415,334161575324.745
2619178.4980977396,333309214512.3885
2634585.4245571382,332462228974.4029
2649992.351016537,331620554896.8316
2665399.277475935,330784128972.1761
2680806.203935334,329952888529.33984
2696213.130394732,329126771689.6338
2711620.0568541307,328305717562.73395
2727026.9833135293,327489666507.85394
2742433.9097729274,326678560531.0766
2757840.836232326,325872344537.237
2773247.7626917246,325070967035.8987
2788654.689151123,324274377039.0139
2804061.6156105213,323482523597.22003
2819468.54206992,322695355853.27496
2834875.4685293185,321912823098.81036
2850282.3949887166,321134874835.2394
2865689.3214481156,320361460840.04425
2881096.2479075138,319592531240.27094
2896503.1743669123,318828036595.99854
